titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
How Music Got Free,Stephen Witt,2015-06-16T00:00:00Z,English,Viking Press,non-fiction,N
Rough Trails,Julia Ecklar,2000-07-01T00:00:00Z,English,Pocket Books,science fiction,Y
The Essentials of the Art of Medicine,Alfred Stillé,1897-01-01T00:00:00Z,English,William J. Dornan,essay,N
Die infernalischen Traummaschinen des Doktor Hoffman,Angela Carter,1972-01-01T00:00:00Z,English,Rupert Hart-Davis,"fantasy, science fiction",N
Until the End of Time,Danielle Steel,2013-01-01T00:00:00Z,English,,romantic fiction,N
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,2009-09-15T00:00:00Z,English,,biography,N
Sea Change,Robert B. Parker,2006-01-01T00:00:00Z,English,G. P. Putnam's Sons,crime fiction,Y
The Rising,Jerry B. Jenkins,2005-03-31T00:00:00Z,English,Tyndale House,"spiritual novel, speculative fiction",Y
Fences and Windows,Naomi Klein,2002-01-01T00:00:00Z,English,Picador,non-fiction,N
The Expanse,Jeanne Kalogridis,2003-05-21T00:00:00Z,English,Pocket Books,science fiction,Y
Once Upon a Time When We Were Colored,Clifton Taulbert,1989-01-01T00:00:00Z,English,,memoir,N
A Game of Authors,Frank Herbert,2013-10-18T00:00:00Z,English,Kevin J. Anderson,thriller,N
Quantum Man: Richard Feynman's Life in Science,Lawrence M. Krauss,2011-01-01T00:00:00Z,English,W. W. Norton & Company,non-fiction,N
A Guide to the Mammals of China.,Darrin P. Lunde,2008-01-01T00:00:00Z,English,Princeton University Press,non-fiction,N
Encyclopedia of frontier biography,Dan L. Thrapp,1991-01-01T00:00:00Z,English,,"biographical dictionary, encyclopedia",N
The Man Who Wrote Frankenstein,John Lauritsen,2007-01-01T00:00:00Z,English,,literary criticism,N
Game Change,John Heilemann,2010-01-11T00:00:00Z,English,HarperCollins,non-fiction,N
"England, Their England",A. G. Macdonell,1933-01-01T00:00:00Z,English,Macmillan Publishers,"satire, comedy",N
Joyland,Stephen King,2013-06-04T00:00:00Z,English,Hard Case Crime,"mystery fiction, crime fiction",N
Stormblade,Nancy Varian Berberick,1988-01-01T00:00:00Z,English,TSR,fantasy,N
Mutants Down Under,Erick Wujcik,1988-01-01T00:00:00Z,English,Palladium Books,"tabletop role-playing game, post-apocalyptic fiction, science fiction",Y
The Ring of Thoth,Arthur Conan Doyle,1890-01-01T00:00:00Z,English,,fantastique,N
