"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch"
"LinearCombinationMatchingRule","bbe_10103","fdb_1673","0.0",
"LinearCombinationMatchingRule","bbe_6620","fdb_5824","0.0",
"LinearCombinationMatchingRule","bbe_361","fdb_6145","0.0",
"LinearCombinationMatchingRule","bbe_33974","fdb_16301","0.06999999999999999",
"LinearCombinationMatchingRule","bbe_46129","fdb_12675","0.09999999999999999",
"LinearCombinationMatchingRule","bbe_8051","fdb_15805","0.0",
"LinearCombinationMatchingRule","bbe_42365","fdb_15729","0.0",
"LinearCombinationMatchingRule","bbe_7680","fdb_9914","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_20571","fdb_5551","0.0",
"LinearCombinationMatchingRule","bbe_4565","fdb_4018","0.0",
"LinearCombinationMatchingRule","bbe_31431","fdb_3670","0.0",
"LinearCombinationMatchingRule","bbe_35820","fdb_14045","0.0",
"LinearCombinationMatchingRule","bbe_45337","fdb_12131","0.0",
"LinearCombinationMatchingRule","bbe_36096","fdb_14348","0.0",
"LinearCombinationMatchingRule","bbe_39967","fdb_8050","0.0",
"LinearCombinationMatchingRule","bbe_40356","fdb_12557","0.0",
"LinearCombinationMatchingRule","bbe_21573","fdb_10319","0.0",
"LinearCombinationMatchingRule","bbe_42522","fdb_9501","0.0",
"LinearCombinationMatchingRule","bbe_3698","fdb_5330","0.0",
"LinearCombinationMatchingRule","bbe_46727","fdb_6835","0.0",
"LinearCombinationMatchingRule","bbe_7357","fdb_4679","0.0",
"LinearCombinationMatchingRule","bbe_13022","fdb_17120","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_43550","fdb_15020","0.0",
"LinearCombinationMatchingRule","bbe_45408","fdb_1935","0.0",
"LinearCombinationMatchingRule","bbe_14801","fdb_3582","0.0",
"LinearCombinationMatchingRule","bbe_23676","fdb_966","0.0",
"LinearCombinationMatchingRule","bbe_5700","fdb_1879","0.0",
"LinearCombinationMatchingRule","bbe_14488","fdb_2253","0.0",
"LinearCombinationMatchingRule","bbe_34088","fdb_6361","0.0",
"LinearCombinationMatchingRule","bbe_4036","fdb_3896","0.42",
"LinearCombinationMatchingRule","bbe_29393","fdb_15945","0.42",
"LinearCombinationMatchingRule","bbe_51873","fdb_15945","0.42",
"LinearCombinationMatchingRule","bbe_5948","fdb_3041","0.0",
"LinearCombinationMatchingRule","bbe_46099","fdb_11406","0.0",
"LinearCombinationMatchingRule","bbe_6401","fdb_304","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_48796","fdb_8554","NaN",
"LinearCombinationMatchingRule","bbe_26257","fdb_6067","0.0",
"LinearCombinationMatchingRule","bbe_27682","fdb_11874","0.0",
"LinearCombinationMatchingRule","bbe_8441","fdb_17161","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_7193","fdb_8648","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_33835","fdb_6009","0.0",
